title,page,organization_name,last_modified,created_at,metrics_views,metrics_resources_downloads,metrics_discussions
Nombre de bénéficiaires du dispositif Avenir Jeunes 29 (AJ29) par commune depuis 2018,https://www.data.gouv.fr/datasets/nombre-de-beneficiaires-du-dispositif-avenir-jeunes-29-aj29-par-commune-depuis-2018/,Conseil départemental du Finistère,2025-01-03,2020-09-26,3434,2500,0
Stationnements particuliers - Ville de Lorient,https://www.data.gouv.fr/datasets/stationnements-particuliers-ville-de-lorient/,Ville de Lorient,2025-08-31,2025-08-31,3261,5054,0
Capacité d’accueil Petite Enfance par EPCI (hors ASE) dans le Finistère,https://www.data.gouv.fr/datasets/capacite-daccueil-petite-enfance-par-epci-hors-ase-dans-le-finistere/,Conseil départemental du Finistère,2024-10-01,2020-12-09,3241,1160,0
Liste des maires de Lorient et de Keryado - Ville de Lorient,https://www.data.gouv.fr/datasets/liste-des-maires-de-lorient-et-de-keryado-ville-de-lorient/,Ville de Lorient,2020-12-23,2020-12-23,3236,4086,0
Conseillers départementaux du Finistère,https://www.data.gouv.fr/datasets/conseillers-departementaux-du-finistere/,Conseil départemental du Finistère,2024-05-27,2018-11-27,3224,3167,0
Certificats d'économie d'énergie (C2E) - Morbihan énergies,https://www.data.gouv.fr/datasets/certificats-deconomie-denergie-c2e-morbihan-energies-2/,Morbihan énergies,2018-10-19,2018-10-19,3197,4439,0
Archives départementales de la Mayenne - Registre des entrées depuis 2022,https://www.data.gouv.fr/datasets/archives-departementales-de-la-mayenne-registre-des-entrees-depuis-2022/,Le Conseil Départemental de la Mayenne,2025-03-24,2023-09-15,3192,4035,0
Établissements d'accueil de jeunes enfants (EAJE) du Finistère,https://www.data.gouv.fr/datasets/etablissements-daccueil-de-jeunes-enfants-eaje-du-finistere/,Conseil départemental du Finistère,2024-12-20,2023-06-30,3180,942,0
Lorientais morts pour la France - Ville de Lorient,https://www.data.gouv.fr/datasets/lorientais-morts-pour-la-france-ville-de-lorient/,Ville de Lorient,2020-12-15,2020-12-15,3167,4418,1
Liste des voies et lieux - Ville de Lorient,https://www.data.gouv.fr/datasets/liste-des-voies-ville-de-lorient/,Ville de Lorient,2025-08-31,2025-08-31,3136,6032,0
